County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates
Gila County,120,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.5 ,145.5 
La Paz County  3,51,stable,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.7 ,142.7 
Pima County,1499,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.2 ,141.2 
Graham County,37,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.3 ,140.3 
Navajo County,116,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,139.0 ,139.0 
Apache County,34,stable,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,136.8 ,136.8 
Maricopa County,5203,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.2 ,135.2 
Coconino County,112,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,129.9 ,129.9 
Yuma County  3,207,stable,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,128.0 ,128.0 
Pinal County,570,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,122.2 ,122.2 
Santa Cruz County,21,falling,Arizona,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,113.1 ,113.1 
Coconino County,3,*,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,216.8 ,216.8 
Mohave County,5,*,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,156.2 ,156.2 
Maricopa County,297,falling,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,153.7 ,153.7 
Pima County,56,falling,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,146.2 ,146.2 
Yuma County  3,5,falling,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,138.5 ,138.5 
Cochise County,7,falling,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,138.4 ,138.4 
Yavapai County,3,*,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,134.8 ,134.8 
Pinal County,24,falling,Arizona,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,133.5 ,133.5 
La Paz County  3,7,stable,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,199.8 ,199.8 
Gila County,12,*,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,158.2 ,158.2 
Coconino County,36,rising,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,120.9 ,120.9 
Yavapai County,6,*,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,120.9 ,120.9 
Navajo County,50,stable,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,117.3 ,117.3 
Pinal County,21,falling,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,110.8 ,110.8 
Apache County,55,falling,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,106.0 ,106.0 
Pima County,32,stable,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,105.9 ,105.9 
Graham County,4,*,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,101.5 ,101.5 
Maricopa County,63,falling,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,94.1 ,94.1 
Mohave County,6,*,Arizona,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,90.8 ,90.8 
Mohave County,7,*,Arizona,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,122.7 ,122.7 
Cochise County,5,*,Arizona,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,102.5 ,102.5 
Maricopa County,163,falling,Arizona,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,96.1 ,96.1 
Pima County,32,falling,Arizona,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,92.1 ,92.1 
Yavapai County,4,*,Arizona,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,89.4 ,89.4 
Pinal County,7,*,Arizona,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,65.7 ,65.7 
Apache County,6,*,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,162.3 ,162.3 
Yavapai County,31,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,122.4 ,122.4 
Coconino County,13,stable,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,122.2 ,122.2 
Navajo County,12,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,121.8 ,121.8 
Pima County,338,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,121.3 ,121.3 
Graham County,12,stable,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,120.7 ,120.7 
Cochise County,50,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,120.4 ,120.4 
Maricopa County,779,stable,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,116.8 ,116.8 
Mohave County,36,stable,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,116.6 ,116.6 
Gila County,13,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,115.0 ,115.0 
Santa Cruz County,44,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,114.3 ,114.3 
Pinal County,86,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,109.1 ,109.1 
Yuma County  3,100,falling,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,103.5 ,103.5 
Greenlee County,4,stable,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,96.2 ,96.2 
La Paz County  3,3,*,Arizona,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,62.3 ,62.3 
Monroe County,19,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,274.3 ,274.3 
Calhoun County,14,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,238.1 ,238.1 
Woodruff County,19,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,235.5 ,235.5 
Clay County,53,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,232.2 ,232.2 
Cross County,40,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,226.1 ,226.1 
Poinsett County,67,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,221.8 ,221.8 
Ouachita County,49,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,217.2 ,217.2 
Randolph County,55,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,216.2 ,216.2 
Lawrence County,52,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,215.6 ,215.6 
Jackson County,42,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,214.6 ,214.6 
Arkansas County,42,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,209.3 ,209.3 
Sharp County,63,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,207.5 ,207.5 
Chicot County,17,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,206.2 ,206.2 
Lee County,13,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,204.1 ,204.1 
Jefferson County,96,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.7 ,199.7 
Polk County,63,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.5 ,199.5 
Crittenden County,60,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,199.1 ,199.1 
Montgomery County,31,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,198.5 ,198.5 
Fulton County,41,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,196.1 ,196.1 
Mississippi County,68,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,195.4 ,195.4 
Johnson County,61,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,194.5 ,194.5 
Union County,73,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,193.7 ,193.7 
Phillips County,22,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,192.7 ,192.7 
Scott County,29,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,192.6 ,192.6 
Lonoke County,133,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,190.7 ,190.7 
Nevada County,17,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,190.5 ,190.5 
Drew County,34,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,190.3 ,190.3 
Miller County,80,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,189.0 ,189.0 
Baxter County,157,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.9 ,188.9 
Lincoln County,23,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.8 ,188.8 
Greene County,101,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.8 ,188.8 
Madison County,40,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,188.3 ,188.3 
Franklin County,47,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,187.5 ,187.5 
Grant County,44,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,185.5 ,185.5 
Ashley County,42,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.5 ,184.5 
Perry County,28,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,184.2 ,184.2 
Crawford County,136,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,182.2 ,182.2 
Bradley County,20,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,181.2 ,181.2 
White County,165,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,180.6 ,180.6 
Marion County,55,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,180.1 ,180.1 
Cleveland County,19,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.7 ,179.7 
Pike County,28,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.6 ,179.6 
Cleburne County,84,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,179.1 ,179.1 
Hot Spring County,75,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.8 ,178.8 
Searcy County,25,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,178.7 ,178.7 
Logan County,55,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.7 ,177.7 
Clark County,37,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.7 ,177.7 
Yell County,49,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,177.5 ,177.5 
Boone County,95,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,173.8 ,173.8 
Sevier County,29,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,171.1 ,171.1 
Conway County,45,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,170.2 ,170.2 
Sebastian County,231,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,169.5 ,169.5 
Pope County,122,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.9 ,167.9 
Howard County,25,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.6 ,167.6 
Little River County,25,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,167.0 ,167.0 
Newton County,23,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.6 ,166.6 
Stone County,40,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,166.6 ,166.6 
Garland County,251,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,165.9 ,165.9 
Izard County,40,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.4 ,164.4 
Craighead County,172,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.1 ,164.1 
Faulkner County,180,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,164.1 ,164.1 
Saline County,237,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,163.4 ,163.4 
Dallas County,12,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.8 ,161.8 
Independence County,77,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,161.6 ,161.6 
Columbia County,35,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,159.3 ,159.3 
Carroll County,69,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,158.3 ,158.3 
Van Buren County,48,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.7 ,157.7 
Hempstead County,34,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,157.1 ,157.1 
St. Francis County,28,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,154.0 ,154.0 
Washington County,308,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.9 ,153.9 
Benton County,403,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,153.3 ,153.3 
Prairie County,18,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,151.5 ,151.5 
Pulaski County,497,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,150.9 ,150.9 
Lafayette County,11,stable,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,148.9 ,148.9 
Desha County,14,falling,Arkansas,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,147.4 ,147.4 
Benton County,12,*,Arkansas,All Cancer Sites,  White Hispanic,All Sexes,All Ages,81.9 ,81.9 
Washington County,8,*,Arkansas,All Cancer Sites,  White Hispanic,All Sexes,All Ages,79.2 ,79.2 
Pulaski County,6,*,Arkansas,All Cancer Sites,  White Hispanic,All Sexes,All Ages,73.0 ,73.0 
Sebastian County,5,*,Arkansas,All Cancer Sites,  White Hispanic,All Sexes,All Ages,72.6 ,72.6 
Monroe County,19,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,270.6 ,270.6 
Calhoun County,14,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,242.8 ,242.8 
Woodruff County,19,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,238.6 ,238.6 
Clay County,53,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,234.0 ,234.0 
Cross County,40,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,227.6 ,227.6 
Poinsett County,66,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,222.2 ,222.2 
Randolph County,55,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,218.3 ,218.3 
Ouachita County,49,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,217.8 ,217.8 
Jackson County,42,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,217.0 ,217.0 
Lawrence County,52,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,216.6 ,216.6 
Chicot County,17,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,213.1 ,213.1 
Arkansas County,42,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,209.9 ,209.9 
Sharp County,63,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,209.8 ,209.8 
Lee County,13,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,209.4 ,209.4 
Johnson County,60,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.5 ,203.5 
Polk County,63,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,203.5 ,203.5 
Jefferson County,96,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,202.5 ,202.5 
Montgomery County,31,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,202.2 ,202.2 
Crittenden County,60,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,202.1 ,202.1 
Mississippi County,68,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,199.2 ,199.2 
Fulton County,41,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,197.5 ,197.5 
Scott County,29,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,196.7 ,196.7 
Phillips County,22,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.9 ,194.9 
Union County,73,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,194.6 ,194.6 
Lonoke County,133,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.4 ,192.4 
Drew County,34,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.3 ,192.3 
Lincoln County,23,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,192.0 ,192.0 
Madison County,40,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.8 ,190.8 
Greene County,101,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.7 ,190.7 
Baxter County,156,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,190.4 ,190.4 
Nevada County,16,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,189.8 ,189.8 
Ashley County,41,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,188.1 ,188.1 
Franklin County,46,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.9 ,187.9 
Grant County,44,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.0 ,187.0 
Crawford County,135,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,187.0 ,187.0 
Perry County,27,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,185.4 ,185.4 
Miller County,77,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,184.8 ,184.8 
Yell County,48,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,183.5 ,183.5 
White County,165,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.8 ,182.8 
Marion County,55,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,182.3 ,182.3 
Cleburne County,84,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.8 ,180.8 
Bradley County,19,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.5 ,180.5 
Cleveland County,19,falling,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.5 ,180.5 
Searcy County,25,stable,Arkansas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,180.0 ,180.0 
